風呂	ふろ|ぶろ
挨拶	あいさつ
凄い	すごい
焼酎	しょうちゅう|じょうちゅう
旦那	だんな
貼り	はり|ばり
必須	ひっす|ひっしゅ
狙い	ねらい
匂い	におい
諦め	あきらめ
この頃	このごろ
椅子	いす
完璧	かんぺき
稽古	けいこ|げいこ
憧れ	あこがれ|あくがれ
日頃	ひごろ
爽やか	さわやか
一旦	いったん
拉致	らち|らっち
狙う	ねらう|ねろう
僅か	わずか|はつか
親戚	しんせき
痩せ	やせ
隙間	すきま
破綻	はたん
歌舞伎	かぶき
年頃	としごろ
妖怪	ようかい
貼る	はる|ばる
腫瘍	しゅよう
貼り付け	はりつけ
曖昧	あいまい
所詮	しょせん
蹴り	けり|げり
潰し	つぶし|つやし
今頃	いまごろ
嫉妬	しっと
羨ましい	うらやましい
洞窟	どうくつ
頂戴	ちょうだい
妖精	ようせい
玩具	がんぐ|おもちゃ
三昧	さんまい|ざんまい
憂鬱	ゆううつ
弥生	やよい
日韓	にっかん
爽快	そうかい
潰れ	つぶれ
賭け	かけ|がけ
斬り	きり|ぎり
呪い	のろい|まじない
貼付	ちょうふ|てんぷ
僧侶	そうりょ
呪文	じゅもん
腫れ	はれ
暗闇	くらやみ
藤本	とうほん
尻尾	しっぽ
挫折	ざせつ
手頃	てごろ
覚醒	かくせい
斬新	ざんしん
腎臓	じんぞう
月頃	つきごろ
つけ麺	つけめん
山麓	さんろく
真摯	しんし
汎用	はんよう
毀損	きそん
勾配	こうばい
見頃	みごろ
拭い	ふい|ぬぐい
捉える	とらえる|つらまえる
葛藤	かっとう|つづらふじ
初詣	はつもうで
股間	こかん
近頃	ちかごろ
冥福	めいふく
進捗	しんちょく
刹那	せつな
元旦	がんたん
韓流	かんりゅう
拳銃	けんじゅう
旺盛	おうせい
潰す	つぶす|つやす
堆肥	たいひ
閉塞	へいそく
凄まじい	すさまじい
語彙	ごい
変貌	へんぼう
痩せる	やせる
斬る	きる|ぎる
賭博	とばく
危惧	きぐ
堆積	たいせき
要塞	ようさい
拭き	ふき
翻弄	ほんろう
物凄い	ものすごい
宛て	あて
蜂蜜	はちみつ
脊髄	せきずい
罵倒	ばとう
傲慢	ごうまん
失踪	しっそう
隠蔽	いんぺい
振袖	ふりそで
勃起	ぼっき
諦める	あきらめる
梗塞	こうそく
唾液	だえき
瑠璃	るり
乞食	こじき|こつじき
勃発	ぼっぱつ
痕跡	こんせき
緻密	ちみつ
親睦	しんぼく
半袖	はんそで
風呂敷	ふろしき|ぶろしき
湧水	ゆうすい
風呂場	ふろば
脇役	わきやく
鍛冶	たんや|かじ
長袖	ながそで|ちょうしゅう
滑稽	こっけい
串焼き	くしやき
明瞭	めいりょう
いつ頃	いつごろ
亀裂	きれつ
宛名	あてな
氾濫	はんらん
参詣	さんけい
湧く	わく
沙汰	さた|ざた
眉毛	まゆげ
憧れる	あこがれる
美貌	びぼう
訃報	ふほう
麺類	めんるい
鍵盤	けんばん
潰れる	つぶれる
狙撃	そげき
払拭	ふっしょく
臆病	おくびょう
煎餅	せんべい
潰瘍	かいよう
萎縮	いしゅく
全貌	ぜんぼう
裾野	すその
串揚げ	くしあげ
蹴る	ける
眉間	みけん
冷麺	れいめん
両脇	りょうわき
整頓	せいとん
痩身	そうしん
采配	さいはい
煎茶	せんちゃ
麻呂	まろ
製麺	せいめん
餅つき	もちつき
軽蔑	けいべつ
狙える	ねらえる
塩尻	しおじり
薬膳	やくぜん
比喩	ひゆ
風貌	ふうぼう
宛先	あてさき
錦糸	きんし
恣意	しい
謎解き	なぞとき
叱り	しかり
乞う	こう
拭く	ふく
抱き枕	だきまくら
灯籠	とうろう|どうろう
脊椎	せきつい
雑巾	ぞうきん
巾着	きんちゃく|ぎんちゃく
残骸	ざんがい
捻挫	ねんざ
死骸	しがい
もの凄い	ものすごい
中韓	ちゅうかん
貪欲	とんよく|どんよく
呪縛	じゅばく
賭ける	かける|がける
乳腺	にゅうせん
喝采	かっさい
嘲笑	ちょうしょう
割り箸	わりばし
風呂上り	ふろあがり
断崖	だんがい
嗅覚	きゅうかく
中頃	なかごろ
呪術	じゅじゅつ
萎える	なえる|しなえる
遡る	さかのぼる
苛立ち	いらだち
素麺	そうめん
鬱陶しい	うっとうしい
戦慄	せんりつ
湧き水	わきみず
急須	きゅうす
哺乳	ほにゅう
二股	ふたまた
鉄拳	てっけん
象牙	ぞうげ
枕元	まくらもと
捻出	ねんしゅつ
餌食	えじき
斑点	はんてん
叱る	しかる
産駒	さんく
筋腫	きんしゅ
塩釜	しおがま
唄う	うたう|うとう
鬱病	うつびょう
崖っぷち	がけっぷち
妖艶	ようえん
脱臼	だっきゅう
怨念	おんねん
咽頭	いんとう
鍛冶屋	かじや
巣窟	そうくつ
苛め	いじめ|さいなめ
罵声	ばせい
腰椎	ようつい
湧出	わきで|ゆうしゅつ
沙羅	さら|しゃら
怨霊	おんりょう
捕捉	ほそく
釜飯	かまめし
賄賂	わいろ
狙い目	ねらいめ
頭巾	ずきん|ときん
浮腫	ふしゅ
留袖	とめそで
韓日	かんにち
妖魔	ようま
拳法	けんぽう
石臼	いしうす
韓国人	かんこくじん
韓国語	かんこくご
牛丼	ぎゅうどん
前立腺	ぜんりつせん
甲状腺	こうじょうせん
股関節	こかんせつ
脳梗塞	のうこうそく
処方箋	しょほうせん
哺乳類	ほにゅうるい
顎関節	がくかんせつ
土鍋	どなべ
虹色	にじいろ
爽快感	そうかいかん
椎間板	ついかんばん
子守唄	こもりうた
太極拳	たいきょくけん
稽古場	けいこじょう
鍋料理	なべりょうり
天丼	てんどん
恣意的	しいてき
羞恥心	しゅうちしん
若旦那	わかだんな
頭蓋骨	ずがいこつ
不明瞭	ふめいりょう
覚醒剤	かくせいざい
昼頃	ひるごろ
腎不全	じんふぜん
親子丼	おやこどん
