自分	じぶん
買春	ばいしゅん|かいしゅん
当る	あたる
何色	なにいろ
同町	どうちょう
語り口	かたりくち
八百長	やおちょう
雲海	うんかい
日当り	ひあたり
うわさ話	うわさばなし
は行	はぎょう
明星	みょうじょう
里子	さとご
自明	じめい
古び	ふるび
遠心	えんしん
直立	ちょくりつ
弱小	じゃくしょう
元日	がんじつ
原木	げんぼく
姉弟	してい
角地	かどち
外車	がいしゃ
長引く	ながびく
東風	ひがしかぜ|とうふう|こち|ごち
自走	じそう
遠近	えんきん|おちこち
買いもの	かいもの
後年	こうねん
ひき肉	ひきにく
子分	こぶん
村内	そんない|むらうち
家来	けらい|げらい
心がける	こころがける
こぼれ話	こぼればなし
大前	おおまえ
た行	たぎょう
直る	なおる
岩魚	いわな
黒石	くろいし
合作	がっさく
木場	きば|こば
出自	しゅつじ
大人買い	おとながい
大岩	おおいわ
水場	みずば
交友	こうゆう
前足	まえあし
広角	こうかく
西海	さいかい
遠目	とおめ
水鳥	すいちょう|みずとり
新風	しんぷう
語れる	かたれる
足回り	あしまわり
大道	たいどう|だいどう
風光	ふうこう
引ける	ひける
母方	ははかた
秋風	あきかぜ|しゅうふう
七色	なないろ
地すべり	じすべり
文教	ぶんきょう
新し	あたらし
空回り	からまわり
林間	りんかん
し合う	しあう|しおう
頭数	あたまかず|とうすう
来れる	これる
高らか	たからか
上体	じょうたい
地魚	じざかな
毛先	けさき
古紙	こし
家元	いえもと
黒子	くろこ|くろご|こくし|ほくろ|ぼくろ
さ行	さぎょう
赤道	せきどう
通風	つうふう
台紙	だいし
かみ合わせ	かみあわせ
きめ細か	きめこまか
国原	くにはら
公金	こうきん
原野	げんや
あ行	あぎょう
空き家	あきや
心ゆく	こころゆく
立会	たちあい
休み明け	やすみあけ
気道	きどう
谷町	たにまち
点心	てんしん
語らい	かたらい
足止め	あしどめ
組立て	くみたて
三毛	みけ
水切り	みずきり
元通り	もとどおり
言えん	いえん|ゆえん
風雨	ふうう
黒ずみ	くろずみ
原石	げんせき
ファミ通	ふぁみつう
大食い	おおぐい
通ずる	つうずる
海馬	かいば|うみうま
石室	せきしつ|いしむろ
後記	こうき
国人	くにびと|こくじん
通り道	とおりみち
入道	にゅうどう
田楽	でんがく
太字	ふとじ
すき間	すきま
上地	じょうち
立国	りっこく
八方	はっぽう
雪道	せつどう|ゆきみち
食前	しょくぜん
新店	しんみせ
切り分け	きりわけ
新茶	しんちゃ
ため池	ためいけ
言ふ	ゆふ
止み	やみ
道しるべ	みちしるべ
竹刀	しない
交わる	まじわる
立春	りっしゅん
左近	さこん
分家	ぶんけ
木馬	もくば
山海	さんかい
活魚	かつぎょ|いけうお
分数	ぶんすう
星雲	せいうん
海草	かいそう
小夜	さよ
自ずと	おのずと
明ける	あける
校門	こうもん
電光	でんこう
草地	くさち
強まり	つよまり
言わば	いわば|ゆわば
明か	あか|あきらか
黒船	くろふね
下図	かず|したず
目頭	めがしら
車高	しゃこう
聞え	きこえ
か行	かぎょう
文理	ぶんり
下線	かせん
長生	ちょうせい
小分け	こわけ
青海	あおうみ
岩山	いわやま
売り方	うりかた
食する	しょくする
食べもの	たべもの
雪かき	ゆきかき
同会	どうかい
手引	てびき
右記	うき
声高	こわだか
教わる	おそわる
同室	どうしつ
小回り	こまわり
今一つ	いまひとつ
強火	つよび
夜半	よわ|やはん
十八番	おはこ
工大	こうだい
売り手	うりて
南山	なんざん
数多	あまた|すうた
寺内	じない
同大	どうだい
来社	らいしゃ
聞き分け	ききわけ
楽チン	らくちん
古風	こふう
長大	ちょうだい
社中	しゃちゅう
思いきり	おもいきり
行き止まり	いきどまり|ゆきどまり
売り子	うりこ
月半ば	つきなかば
当行	とうこう
何もの	なにもの
西北	せいほく|にしきた
日用	にちよう
ほど遠い	ほどとおい
中山間	ちゅうさんかん
きめ細かい	きめこまかい
花色	はないろ|かしょく
引っかかり	ひっかかり
広まり	ひろまり
な行	なぎょう
室外	しつがい
雲の上	くものうえ
日本語	にほんご
一回	いちかい
高校生	こうこうせい
外国人	がいこくじん
日曜日	にちようび
土曜日	どようび
何回	なんかい
教科書	きょうかしょ
見方	みかた
午前中	ごぜんちゅう
中国人	ちゅうごくじん
社会人	しゃかいじん
金曜日	きんようび
月曜日	げつようび
中古車	ちゅうこしゃ
中国語	ちゅうごくご
子会社	こがいしゃ
長時間	ちょうじかん
原子力	げんしりょく
心理学	しんりがく
女子高	じょしこう
水曜日	すいようび
火曜日	かようび
女子高生	じょしこうせい
食生活	しょくせいかつ
木曜日	もくようび
下水道	げすいどう
売上高	うりあげだか
茶色	ちゃいろ
外国語	がいこくご
何日	なんにち
少人数	しょうにんずう
青色	あおいろ
数時間	すうじかん
時間外	じかんがい
赤外線	せきがいせん
通知書	つうちしょ
会社名	かいしゃめい
外出先	がいしゅつさき
分科会	ぶんかかい
何本	なんぼん
地下水	ちかすい
考古学	こうこがく
新年会	しんねんかい
新入生	しんにゅうせい
社会学	しゃかいがく
大多数	だいたすう
明太子	めんたいこ
高分子	こうぶんし
顔文字	かおもじ
一直線	いっちょくせん
音楽家	おんがくか
何時間	なんじかん
中心地	ちゅうしんち
三角形	さんかっけい
水道水	すいどうすい
一時金	いちじきん
新生活	しんせいかつ
親会社	おやがいしゃ
計算書	けいさんしょ
帰国後	きこくご
明細書	めいさいしょ
絵文字	えもじ
新聞紙	しんぶんし
町内会	ちょうないかい
絵日記	えにっき
高学年	こうがくねん
小売店	こうりてん
計画書	けいかくしょ
社会科	しゃかいか
走行中	そうこうちゅう
公文書	こうぶんしょ
入門書	にゅうもんしょ
日本刀	にほんとう
図書室	としょしつ
天文台	てんもんだい
数年間	すうねんかん
大人数	おおにんずう
数週間	すうしゅうかん
会場内	かいじょうない
新会社	しんがいしゃ
文字数	もじすう
数日間	すうじつかん
大理石	だいりせき
力強	ちからづよ
古文書	こもんじょ
千秋楽	せんしゅうらく
生理学	せいりがく
語学力	ごがくりょく
頭文字	かしらもじ
大百科	だいひゃっか
風土記	ふどき
通行人	つうこうにん
原生林	げんせいりん
工学科	こうがくか|こうがっか
地形図	ちけいず
思考力	しこうりょく
合気道	あいきどう
長方形	ちょうほうけい
遠赤外線	えんせきがいせん
黄金色	こがねいろ
日本食	にほんしょく
国内線	こくないせん
引当金	ひきあてきん
今日中	きょうじゅう
言語学	げんごがく
絵手紙	えてがみ
天地人	てんちじん
心電図	しんでんず
音楽会	おんがくかい
米国人	べいこくじん
後見人	こうけんにん
地下室	ちかしつ
正方形	せいほうけい
外野手	がいやしゅ
多年草	たねんそう
出方	でかた
日本茶	にほんちゃ
見本市	みほんいち
今年中	ことしじゅう
小数点	しょうすうてん
古書店	こしょてん
手羽先	てばさき
室内楽	しつないがく
今月中	こんげつちゅう
番組内	ばんぐみない
上下水道	じょうげすいどう
工場長	こうじょうちょう
