見る	みる
学校	がっこう
先生	せんせい
入れ	いれ|はいれ
人気	にんき|ひとけ|じんき
出し	だし|いだし
大きな	おおきな
見え	みえ|まみえ
大学	だいがく
入り	いり|はいり
子ども	こども
入力	にゅうりょく
文字	もじ|もんじ
出る	でる
早く	はやく|ばやく
お気に入り	おきにいり
学生	がくせい
生まれ	うまれ
生き	いき
見える	みえる|まみえる
入る	いる|はいる
人生	じんせい
口コミ	くちこみ
本日	ほんじつ
大人	おとな|たいじん|だいにん|うし
小さな	ちいさな
上げ	あげ
本人	ほんにん
天気	てんき
入れる	いれる|はいれる
大きい	おおきい
出す	だす|いだす
休み	やすみ
先日	せんじつ
立て	たて|だて
女子	じょし|おなご
空気	くうき
女の子	おんなのこ
小さい	ちいさい
早い	はやい|ばやい
本文	ほんぶん|ほんもん
白い	しろい|じろい
見学	けんがく
正しい	ただしい|まさしい
立ち	たち|だち
年金	ねんきん
生きる	いきる
学ぶ	まなぶ
山口	やまぐち
花火	はなび
赤い	あかい
中学	ちゅうがく
文学	ぶんがく
大手	おおて|おおで
男子	だんし
青年	せいねん
休日	きゅうじつ
人口	じんこう
上手	うわて|かみて|じょうて|うま|じょうず
赤ちゃん	あかちゃん
男女	だんじょ|なんにょ|おとこおんな
入学	にゅうがく
左右	さゆう
入手	にゅうしゅ
下り	おり|くだり|さがり
本気	ほんき|まじ
山田	やまだ
山本	やまもと
上がり	あがり
上げる	あげる
中小	ちゅうしょう
学び	まなび
上がる	あがる
立つ	たつ|だつ
下げ	さげ
見かけ	みかけ
入り口	いりくち|いりぐち|はいりぐち
下車	げしゃ
一生	いっしょ|いっしょう
お出かけ	おでかけ
青い	あおい
下手	へた|べた|したて|したで|しもて|げしゅ
正しく	まさしく|ただしく
王子	おうじ
やる気	やるき
出力	しゅつりょく
見せる	みせる
男の子	おとこのこ
空い	あい|すい|むなしい
土日	どにち
森林	しんりん
町村	ちょうそん
右手	みぎて|めて
上下	じょうげ|うえした|かみしも|がみしも|じょうか
カ月	かげつ
入口	いりぐち
上り	あがり|のぼり
生まれる	うまれる
赤字	あかじ
っ子	っこ
学年	がくねん
出口	でぐち
手入れ	ていれ
左手	ひだりて|ゆんで
正月	しょうがつ
大いに	おおいに
生じる	しょうじる
花見	はなみ
小川	おがわ|こがわ
一見	いっけん|いちげん
立てる	たてる|だてる
見つける	みつける
か月	かげつ
入金	にゅうきん
先月	せんげつ
女王	じょおう|じょうおう
見つかる	みつかる
目立つ	めだつ
見れる	みれる
見出し	みいだし|みだし
青空	あおぞら
青山	せいざん
上田	じょうでん
土木	どぼく
中山	なかやま
上手い	うまい
空き	あき|すき
本音	ほんね
青木	あおき
山下	さんか|やました
