見る	みる
中日	ちゅうにち|なかび
下がる	さがる
小学	しょうがく
下る	くだる
学力	がくりょく
田んぼ	たんぼ
天下	てんか|てんげ|でんか
年月	としつき|ねんげつ
川口	かわぐち
天ぷら	てんぷら
上る	あがる|のぼる
大した	たいした
一目	いちもく|ひとめ
水中	すいちゅう
大山	たいさん|たいざん|だいせん
気づき	きづき
本名	ほんみょう
下ろし	おろし
五月	さつき
下さる	くださる
火山	かざん
空中	くうちゅう
中田	ちゅうでん
本田	ほんでん
夕日	ゆうひ
小山	こやま
年中	ねんちゅう|ねんじゅう
下がり	さがり
大名	だいみょう
名人	めいじん
本年	ほんねん
下げる	さげる
大気	たいき
下山	げさん|げざん
大雨	おおあめ
先ず	まず
気づく	きづく
山中	さんちゅう|やまなか
出せる	だせる
大字	おおあざ|だいじ
気まま	きまま
手足	てあし|しゅそく
出入り	でいり|ではいり
白石	しろいし
七夕	たなばた|しちせき
金子	きんす
上空	じょうくう
中年	ちゅうねん
一人ひとり	ひとりひとり
気まぐれ	きまぐれ
本校	ほんこう
山手	やまて|やまのて
空手	からて|くうしゅ|そらで
生ん	うん|なん
気力	きりょく
足し	たし
立ち上がり	たちあがり
目玉	めだま
水田	すいでん|みずた
川上	かわかみ
見本	みほん
手のひら	てのひら
本学	ほんがく
玉子	たまご
水上	すいじょう|みなかみ
年上	としうえ
花びら	はなびら
日の出	ひので
先ほど	さきほど
学べる	まなべる
小生	しょうせい
本土	ほんど
白人	はくじん
出土	しゅつど
休む	やすむ
いち早く	いちはやく
出生	しゅっしょう|しゅっせい
大小	だいしょう
生かす	いかす
空白	くうはく
生む	うむ
火力	かりょく
町名	ちょうめい
石けん	せっけん
大石	おおいし|だいせき
上人	しょうにん
大川	おおかわ|だいせん
中立	ちゅうりつ
天文	てんもん
手づくり	てづくり
下し	おろし|くだし
下町	したまち
大王	おおきみ|だいおう
天空	てんくう
玉ねぎ	たまねぎ
九月	ながつき
見どころ	みどころ
年下	としした
大木	たいぼく
村人	むらびと
正に	まさに
力学	りきがく
大さじ	おおさじ
生き生き	いきいき
大して	たいして
大口	おおくち|おおぐち
下田	げでん
小雨	こさめ|しょうう
天下り	あまくだり
左上	ひだりうえ
年月日	ねんがっぴ
土手	どて
小口	こくち|こぐち
天草	てんぐさ
夕べ	ゆうべ
一大	いちだい
名目	めいもく|みょうもく
月日	がっぴ|つきひ
一口	ひとくち
人名	じんめい
金山	かなやま|きんざん
人びと	ひとびと
ほうれん草	ほうれんそう
草花	くさばな
日ごろ	ひごろ
大げさ	おおげさ
右足	みぎあし
生ずる	しょうずる
文中	ぶんちゅう
左足	ひだりあし
手口	てぐち
足音	あしおと
一足	いっそく|ひとあし
生み	うみ
雨天	うてん
町立	ちょうりつ
人力	じんりき|じんりょく
下水	げすい|したみず
下見	したみ
校正	こうせい
手すり	てすり
先人	せんじん
水木	みずき
山村	さんそん
日にち	ひにち
草木	くさき|そうもく
雨水	あまみず|うすい
山車	だし|やまぐるま
立花	りっか
大いなる	おおいなる
山川	さんせん|やまかわ|やまがわ
王女	おうじょ|ひめみこ
名山	めいざん
車中	しゃちゅう
小町	こまち
山林	さんりん
本山	ほんざん
手がける	てがける
気さく	きさく
立ち入り	たちいり
左下	ひだりした
人目	ひとめ
名水	めいすい
大金	たいきん|おおがね
大空	おおぞら
生きがい	いきがい
手がかり	てがかり
目先	めさき
人文	じんぶん|じんもん
あだ名	あだな
見立て	みたて
竹林	たけばやし|ちくりん
白金	しろがね|はっきん
正し	ただし|まさし
名字	みょうじ
生れ	うまれ|なれ
手ごろ	てごろ
大まか	おおまか
小人	こども|こびと|しょうじん|しょうにん
人手	ひとで
先手	せんて|さきて
下ろす	おろす
下校	げこう
三男	さんなん
手ぬぐい	てぬぐい
足下	あしもと|そっか
水虫	みずむし
生える	はえる
下りる	おりる
木目	きめ|もくめ
一休み	ひとやすみ
水気	みずけ|すいき
月見	つきみ
水草	みずくさ|すいそう
山上	さんじょう
出先	でさき
人出	ひとで
出だし	でだし
生花	いけばな|せいか
十字	じゅうじ
手先	てさき
下す	おろす|くだす
四天王	してんのう
正気	せいき|しょうき
町中	まちなか
見せかけ	みせかけ
水車	すいしゃ|みずぐるま
サラ金	さらきん
小さじ	こさじ
生い立ち	おいたち
生きもの	いきもの
天上	てんじょう
小ぶり	こぶり
ケ月	かげつ
雨上がり	あめあがり
見出す	みいだす
天王	てんおう|てんのう|ちょのわん
石山	いしやま
手本	てほん|でほん
天の川	あまのがわ
目下	めした|もっか
木立	こだち
つま先	つまさき
日日	にちにち|ひにち|ひび
出水	しゅっすい|でみず
白子	しらこ|しらす|しろこ
むき出し	むきだし
火花	ひばな
水力	すいりょく
はみ出し	はみだし
出し入れ	だしいれ
名手	めいしゅ
小石	こいし
先天	せんてん
生かせる	いかせる
月下	げっか
空っぽ	からっぽ
足りる	たりる
先立ち	さきだち
火口	かこう|ひぐち|ほくち
白木	しらき|しろき
出入り口	でいりぐち
日月	じつげつ
出入口	でいりぐち
木の下	このした|このもと
水生	すいせい
文人	ぶんじん
山水	さんすい|やまみず
早口	はやくち|はやぐち
休める	やすめる
見ごたえ	みごたえ
気がかり	きがかり
入山	にゅうざん
花月	かげつ
子女	しじょ
中空	ちゅうくう|なかぞら
学名	がくめい
一気	いっき
生まれつき	うまれつき
本木	もとき
天子	てんし
目の下	めのした
女中	じょちゅう
水玉	みずたま
大目	おおめ
白玉	しらたま|はくぎょく
水口	みずぐち|みなくち
足す	たす
足る	たる
山の手	やまのて
竹の子	たけのこ
空く	あく|すく|むなしく
出火	しゅっか
赤木	あかぎ
花王	かおう
草むら	くさむら
目白	めじろ
町人	ちょうにん|まちびと
お目見え	おめみえ
赤子	あかご|せきし
山名	さんめい
女人	にょにん
大人しい	おとなしい
大日	だいにち
水月	すいげつ
天女	てんにょ
入校	にゅうこう
ひと月	ひとつき
手下	てか|てした
人ごみ	ひとごみ
口先	くちさき
七草	ななくさ
夕立	ゆうだち
気まずい	きまずい
正す	ただす
手ぶら	てぶら
人だかり	ひとだかり
大本	おおもと|たいほん
花木	かぼく|はなき
生ける	いける
右目	みぎめ
立木	たちき|りゅうぼく
左目	ひだりめ
金目	かねめ|きんめ
白水	しろみず
中火	ちゅうび
天日	てんぴ|てんじつ
出金	しゅっきん
名月	めいげつ
日出	にっしゅつ
口出し	くちだし
水子	みずこ|みずご
休校	きゅうこう
糸口	いとぐち
でっち上げ	でっちあげ
一人	ひとり
二人	ふたり
日本人	にほんじん
一日	ついたち
小学校	しょうがっこう
中学校	ちゅうがっこう
小学生	しょうがくせい
一本	いっぽん
日中	にっちゅう|ひなか
中学生	ちゅうがくせい
大人気	だいにんき
大学生	だいがくせい
八十	やそ
一人一人	ひとりひとり
子犬	こいぬ
人中	じんちゅう|にんちゅう|ひとなか
右上	みぎうえ
大文字	おおもじ|だいもんじ
女子大	じょしだい
小文字	こもじ
右下	みぎした
月中	げっちゅう
生年月日	せいねんがっぴ
七五三	しちごさん
九九	くく
一八	いちはつ
一手	いって
二子	ふたこ|ふたご
一一	いちいち
一円	いちえん
小一	しょういち
一六	いちろく
学校名	がっこうめい
天文学	てんもんがく
二人目	ふたりめ
九十九	つくも
空気中	くうきちゅう
五目	ごもく
一名	いちめい
大日本	だいにっぽん|だいにほん
四六	しろく
早目	はやめ
日本円	にほんえん
大先生	だいせんせい
三十日	みそか
小花	こばな
二八	にはち
中二	ちゅうに
大大	だいだい
出玉	でだま
大学校	だいがっこう
四大	しだい
三五	さんご
先見	せんけん|さきみ
雨音	あまおと
