綺麗	きれい|ぎれい
贅沢	ぜいたく
餃子	ぎょーざ
炒め	いため
薔薇	ばら|しょうび|そうび
曰く	いわく
誹謗	ひぼう
お洒落	おしゃれ
鍼灸	しんきゅう
麻痺	まひ
珈琲	こーひー
捏造	ねつぞう|でつぞう
急遽	きゅうきょ
巫女	みこ|ふじょ
牡蠣	かき|がき
生姜	しょうが
肛門	こうもん
躊躇	ちゅうちょ
喘息	ぜんそく|ずだ
驚愕	きょうがく
饅頭	まんじゅう
排泄	はいせつ
嗜好	しこう
瞑想	めいそう
騙し	だまし
炸裂	さくれつ
蜘蛛	くも|ぐも
洒落	しゃれ|じゃれ|しゃらく
呟く	つぶやく
遙か	はるか
終焉	しゅうえん
嘔吐	おうと
剪定	せんてい
車輌	しゃりょう
呟き	つぶやき
対峙	たいじ
膀胱	ぼうこう
囃子	はやし|ばやし
廃墟	はいきょ
執拗	しつよう
屏風	びょうぶ
嗚呼	ああ
胡椒	こしょう
冤罪	えんざい
佇む	たたずむ
濾過	ろか
徘徊	はいかい
頷く	うなずく
琥珀	こはく
焙煎	ばいせん
愛嬌	あいきょう
絨毯	じゅうたん
彗星	すいせい
彷彿	ほうふつ
翡翠	かわせみ|ひすい|しょうびん
痙攣	けいれん
贔屓	ひいき|びいき
山椒	さんしょう|ざんしょう
彷徨	ほうこう
瑕疵	かし
祭祀	さいし
信憑	しんぴょう
痺れ	しびれ
範疇	はんちゅう
愕然	がくぜん
城址	じょうし
渾身	こんしん
凛と	りんと
飛翔	ひしょう
一揆	いっき
炒める	いためる
佇まい	たたずまい
揉み	もみ
乖離	かいり
眩しい	まぶしい
祀る	まつる
揶揄	やゆ
羊羹	ようかん
末裔	まつえい|ばつえい
孵化	ふか
殺戮	さつりく
殲滅	せんめつ
甲冑	かっちゅう
麒麟	きりん
鳳凰	ほうおう
黎明	れいめい
顆粒	かりゅう
筐体	きょうたい
炒め物	いためもの
疼痛	とうつう
邁進	まいしん
燻製	くんせい
研鑽	けんさん
隕石	いんせき
涅槃	ねはん
招聘	しょうへい
滲み	しみ|にじみ
華奢	かしゃ|きゃしゃ
真鍮	しんちゅう
標榜	ひょうぼう
俯瞰	ふかん
欺瞞	ぎまん
頷き	うなずき
舐める	なめる
囁き	ささやき
颯爽	さっそう
椰子	やし
咄嗟	とっさ
懺悔	ざんげ
動悸	どうき
絢爛	けんらん
詭弁	きべん
合祀	ごうし
浣腸	かんちょう
拮抗	きっこう
祀り	まつり
不憫	ふびん
罹患	りかん
恫喝	どうかつ
攘夷	じょうい
喘ぎ	あえぎ
咎め	とがめ
揉め	もめ
甦る	よみがえる
怪訝	けげん
睨み	にらみ
憑依	ひょうい
痒い	かゆい
傀儡	かいらい|くぐつ
熾烈	しれつ
釉薬	ゆうやく|うわぐすり
叱咤	しった
囁く	ささやく
撥水	はっすい
嚥下	えんげ|えんか
攪拌	かくはん|こうはん
曼荼羅	まんだら
穢れ	けがれ
咆哮	ほうこう
卑猥	ひわい
蹂躙	じゅうりん
瓦礫	がれき
飢饉	ききん
唸り	うなり
熨斗	のし
辟易	へきえき
賽銭	さいせん
謳歌	おうか
膵臓	すいぞう
生贄	いけにえ
隧道	すいどう|ずいどう
炬燵	こたつ|ごたつ
明媚	めいび
咬合	こうごう
信憑性	しんぴょうせい
爬虫類	はちゅうるい
屁理屈	へりくつ
花崗岩	かこうがん
