自分	じぶん
外れ	はずれ
自社	じしゃ
新年	しんねん
分かれ	わかれ
先行	せんこう
出店	しゅってん|でみせ
青春	せいしゅん
会う	あう|おう
早朝	そうちょう
店頭	てんとう
広がり	ひろがり
歌う	うたう|うとう
姉さん	ねえさん
前記	ぜんき
歌手	かしゅ
親切	しんせつ
この間	このあいだ
見通し	みとおし
大地	だいち
売る	うる
自作	じさく
店名	てんめい
立地	りっち
原理	げんり
本番	ほんばん
通る	とおる
黄金	おうごん|こがね
校長	こうちょう
長年	ちゃんねん|ながねん
林道	りんどう
手間	てま|でま
日光	にっこう
高める	たかめる
点数	てんすう
親父	おやじ|しんぷ
天才	てんさい
同人	どうじん|どうにん
社内	しゃない
長男	ちょうなん
行方	ゆくえ
上場	じょうじょう
外出	がいしゅつ
絵画	かいが
答える	こたえる
図書	としょ|ずしょ
大半	たいはん|たいぱん
知人	ちじん
細い	ほそい|こまかい|こまい
夜中	やちゅう|よなか
心地	ここち|ごこち|しんじ
用いる	もちいる
肉体	にくたい
合同	ごうどう
前年	ぜんねん
手元	てもと
国語	こくご
文明	ぶんめい
夜間	やかん
引く	ひく
入社	にゅうしゃ
日時	にちじ
来場	らいじょう
外来	がいらい
弟子	でし|ていし
海上	かいじょう|かいしょう
生理	せいり
後日	ごじつ
一家	いっか
聞こえる	きこえる
土曜	どよう
合理	ごうり
分子	ぶんし
兄ちゃん	にいちゃん
半ば	なかば
買える	かえる
来月	らいげつ
兄さん	にいさん
正体	しょうたい|せいたい
天国	てんごく
正当	せいとう
数多く	かずおおく
足元	あしもと
止める	とめる|やめる|とどめる
道場	どうじょう
通学	つうがく
日数	にっすう|ひかず
立体	りったい
歩行	ほこう
高山	こうざん
分間	ぶんけん|ふんかん|ぷんかん
工学	こうがく
小売	こうり
公立	こうりつ
回る	まわる
心がけ	こころがけ
思いっきり	おもいっきり
同一	どういつ
明記	めいき
回線	かいせん
組み	くみ|ぐみ
合わせる	あわせる
車内	しゃない
