自分	じぶん
すき間	すきま
小百合	さゆり
上地	じょうち
立国	りっこく
食前	しょくぜん
新店	しんみせ
切り分け	きりわけ
新茶	しんちゃ
ため池	ためいけ
止み	やみ
道しるべ	みちしるべ
竹刀	しない
交わる	まじわる
立春	りっしゅん
国人	くにびと|こくじん
左近	さこん
分家	ぶんけ
木馬	もくば
山海	さんかい
活魚	かつぎょ|いけうお
星雲	せいうん
海草	かいそう
小夜	さよ
自ずと	おのずと
明ける	あける
校門	こうもん
電光	でんこう
五行	ごぎょう
強まり	つよまり
言わば	いわば|ゆわば
黒船	くろふね
下図	かず|したず
分数	ぶんすう
目頭	めがしら
聞え	きこえ
文理	ぶんり
下線	かせん
長生	ちょうせい
青海	あおうみ
岩山	いわやま
食する	しょくする
食べもの	たべもの
雪かき	ゆきかき
小分け	こわけ
手引	てびき
右記	うき
声高	こわだか
同室	どうしつ
小回り	こまわり
今一つ	いまひとつ
強火	つよび
夜半	よわ|やはん
工大	こうだい
売り手	うりて
南山	なんざん
数多	あまた|すうた
同大	どうだい
教わる	おそわる
来社	らいしゃ
聞き分け	ききわけ
草地	くさち
古風	こふう
長大	ちょうだい
八方	はっぽう
思いきり	おもいきり
売り子	うりこ
当行	とうこう
寺内	じない
何もの	なにもの
西北	せいほく|しーぺい|にしきた
きめ細かい	きめこまかい
引っかかり	ひっかかり
室外	しつがい
日本語	にほんご
万人	ばんにん|ばんじん|まんにん
一回	いちかい
高校生	こうこうせい
外国人	がいこくじん
日曜日	にちようび
土曜日	どようび
一歩	いっぽ
何回	なんかい
教科書	きょうかしょ
見方	みかた
午前中	ごぜんちゅう
何人	なにじん|なにびと|なんぴと|なんにん
中国人	ちゅうごくじん
社会人	しゃかいじん
金曜日	きんようび
月曜日	げつようび
中古車	ちゅうこしゃ
日米	にちべい
百万	ひゃくまん
中国語	ちゅうごくご
数十	すうじゅう
子会社	こがいしゃ
長時間	ちょうじかん
原子力	げんしりょく
千万	せんばん|せんまん
空室	くうしつ
心理学	しんりがく
女子高	じょしこう
水曜日	すいようび
数百	すーひゃく
火曜日	かようび
本作	ほんさく
女子高生	じょしこうせい
何十	なんじゅう
円高	えんだか
食生活	しょくせいかつ
一点	いってん
百合	ゆり
木曜日	もくようび
下水道	げすいどう
売上高	うりあげだか
茶色	ちゃいろ
外国語	がいこくご
万年	まんねん
何日	なんにち
少人数	しょうにんずう
数千	すうせん
何気	なにげ
青色	あおいろ
数時間	すうじかん
時間外	じかんがい
点目	てんめ
作目	さくもく
赤外線	せきがいせん
今一	いまいち
通知書	つうちしょ
会社名	かいしゃめい
何百	なんびゃく
朝一	あさいち
外出先	がいしゅつさき
分科会	ぶんかかい
近場	ちかば
何本	なんぼん
地下水	ちかすい
日朝	にっちょう
考古学	こうこがく
新年会	しんねんかい
新入生	しんにゅうせい
社会学	しゃかいがく
大多数	だいたすう
入店	にゅうてん
明太子	めんたいこ
高分子	こうぶんし
顔文字	かおもじ
一直線	いっちょくせん
音楽家	おんがくか
何時間	なんじかん
中心地	ちゅうしんち
三角形	さんかっけい
水道水	すいどうすい
一人前	いちにんまえ|ひとりまえ
一時金	いちじきん
新生活	しんせいかつ
親会社	おやがいしゃ
計算書	けいさんしょ
帰国後	きこくご
明細書	めいさいしょ
絵文字	えもじ
新聞紙	しんぶんし
町内会	ちょうないかい
何千	なんぜん
絵日記	えにっき
高学年	こうがくねん
小売店	こうりてん
今作	こんさく
計画書	けいかくしょ
社会科	しゃかいか
走行中	そうこうちゅう
公文書	こうぶんしょ
入門書	にゅうもんしょ
小顔	こがお
六角	ろっかく
日本刀	にほんとう
図書室	としょしつ
天文台	てんもんだい
前走	ぜんそう
数年間	すうねんかん
大人数	おおにんずう
春夏	はるなつ
数週間	すうしゅうかん
地内	じない
三線	さんしん
会場内	かいじょうない
新会社	しんがいしゃ
南北朝	なんぼくちょう
文字数	もじすう
数日間	すうじつかん
大理石	だいりせき
力強	ちからづよ
南高	なんこう
古文書	こもんじょ
山野草	さんやそう
千秋楽	せんしゅうらく
何万	なんまん
生理学	せいりがく
語学力	ごがくりょく
頭文字	かしらもじ
大百科	だいひゃっか
風土記	ふどき
一分	いちぶん
通行人	つうこうにん
原生林	げんせいりん
工学科	こうがくか|こうがっか
地形図	ちけいず
思考力	しこうりょく
合気道	あいきどう
長方形	ちょうほうけい
遠赤外線	えんせきがいせん
黄金色	こがねいろ
日本食	にほんしょく
十二分	じゅうにぶん
線上	せんじょう
国内線	こくないせん
新日	しんにち
新市	しんし
引当金	ひきあてきん
今日中	きょうじゅう
言語学	げんごがく
絵手紙	えてがみ
小魚	こざかな
本分	ほんぶん
天地人	てんちじん
心電図	しんでんず
音楽会	おんがくかい
米国人	べいこくじん
後見人	こうけんにん
地下室	ちかしつ
正方形	せいほうけい
外野手	がいやしゅ
何色	なにいろ
多年草	たねんそう
姉弟	してい
自走	じそう
村内	そんない|むらうち
水場	みずば
出方	でかた
七色	なないろ
日本茶	にほんちゃ
見本市	みほんいち
地魚	じざかな
毛先	けさき
今年中	ことしじゅう
小数点	しょうすうてん
古書店	こしょてん
三毛	みけ
手羽先	てばさき
雪道	せつどう|ゆきみち
室内楽	しつないがく
今月中	こんげつちゅう
番組内	ばんぐみない
車高	しゃこう
同会	どうかい
十八番	おはこ
社中	しゃちゅう
上下水道	じょうげすいどう
日用	にちよう
中山間	ちゅうさんかん
花色	かしょく|はないろ
工場長	こうじょうちょう
